field_name,reservoir_unit,country,region,basin_name,operator_company,hydrocarbon_type,reservoir_status,reservoir_period,lithology,basin_location_inferred,basin_location_external,tectonic_regime_basement-i,tectonic_regime_compression,tectonic_regime_diapir,tectonic_regime_erosion,tectonic_regime_evaporite,tectonic_regime_extension,tectonic_regime_gravity,tectonic_regime_inversion,tectonic_regime_linked,tectonic_regime_reactivation,tectonic_regime_shale,tectonic_regime_strike-slip,tectonic_regime_synsedimentation,tectonic_regime_transpression,tectonic_regime_transtension,tectonic_regime_uplift,structural_setting_backarc,structural_setting_delta,structural_setting_forearc,structural_setting_foreland,structural_setting_intracratonic,structural_setting_inversion,structural_setting_passive-margin,structural_setting_rift,structural_setting_salt,structural_setting_sub-salt,structural_setting_sub-thrust,structural_setting_thrust,structural_setting_wrench,depth,thickness_gross_average_ft,thickness_net_pay_average_ft,porosity,permeability,water_pct,is_in_water,is_on_island,is_in_gulf,is_in_strait,is_in_delta,is_in_bay,ref_onshore,ref_offshore,ref_lake,onshore_offshore
rainbow trend,upper keg river-muskeg (rainbow a),canada,north america,western canada,numerous,oil,declining production,devonian,limestone,onshore,onshore,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5866,756.0,400.0,11.8,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
waterton,rundle-wabamun (a pool),canada,north america,western canada,shell,gas-condensate,mature production,devonian-carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8100,2350.0,142.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
west seminole,san andres,unknown,unknown,permian,occidental,oil,nearly depleted,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4810,600.0,40.0,9.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
alpine,alpine,unknown,unknown,colville,conocophillips,oil,plateau production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6600,50.0,49.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
katnook,pretty hill (sandstone),australia,far east,otway,boral energy resources ltd,gas,plateau production,cretaceous,sandstone,onshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9286,221.0,62.0,14.5,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
heather,brent,uk,europe,north sea northern,dno,oil,mature production,jurassic,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8981,210.0,113.0,10.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
ekofisk,tor-ekofisk,norway,europe,north sea central,conocophillips,oil,second plateau prodution,cretaceous-paleogene,chalk,offshore,offshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9250,820.0,590.0,32.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
rangely,weber,usa,north america,uinta/piceance,chevron,oil,declining production,carboniferous-permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5500,526.0,189.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
elkhorn ranch,mission canyon (madison),usa,north america,williston,tenneco /cenex /shell,oil,declining production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9125,105.0,40.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
beaver lodge,mission canyon (madison),unknown,unknown,williston,amerada hess,oil,rejuvenating,carboniferous,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8350,120.0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
talco,paluxy,unknown,unknown,east texas salt,exxonmobil,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4059,275.0,44.0,25.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
auk,zechstein (halibut),uk,europe,north sea central,shell,oil,depleted,permian,dolomite,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7044,30.0,30.0,13.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
redwater,leduc,canada,north america,western canada,imperial oil resources,oil,nearly depleted,devonian,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3080,800.0,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
heidrun,fangst,norway,europe,mid-norway shelf,statoilhydro,oil,plateau production,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5692,230.0,207.0,28.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
qarun,lower bahariya,egypt,africa,gindi,qarun petroleum,oil,developing,cretaceous,low-resistivity sandstone,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8450,145.0,45.0,18.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
lobster,bulminella 1 sand,usa,north america,gulf of mexico northern offshore,marathon,oil,declining production,neogene,sandstone,offshore,offshore,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8075,460.0,150.0,24.0,900.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,offshore
baldpate,big sand,usa,north america,gulf of mexico northern offshore,amerada hess,gas,plateau production,neogene,sandstone,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13850,118.0,100.0,27.0,836.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,offshore
miskar,aleg (r1 inferior),tunisia,africa,pelagian,bg,gas,developing,cretaceous,limestone,offshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9967,85.0,75.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
gamyshldzha,red series (hk-1 to hk-5),turkmenistan,former soviet union,caspian south,turkmenneft,oil,declining production,neogene,sandstone,onshore-offshore,onshore-offshore,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9088,1800.0,160.0,20.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
varegan,megion-varegan (a5-b10),russia,former soviet union,siberian western,noyabrskneftegas,oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5577,3150.0,429.0,23.6,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
cano limon,lower carbonera,colombia,latin america,llanos,occidental,oil,rejuvenating,paleogene,sandstone,onshore,onshore,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6950,235.0,126.0,24.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
andrew,lista (andrew sandstone),unknown,unknown,north sea southern,bp,oil,declining production,paleogene,sandstone,offshore,onshore-offshore,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7595,541.0,367.0,20.0,200.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
rourke gap,upper minnelusa (c sand),unknown,unknown,powder river,wildfire partners inc,oil,nearly depleted,permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10225,100.0,25.0,11.3,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
alwyn north,statfjord,uk,europe,north sea northern,total,gas-condensate,mature production,triassic-jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10545,869.0,512.0,13.5,330.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
yacheng 13-1,lingshui (lingshui-3),china,far east,qiongdongnan,cnooc,gas,plateau production,paleogene,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11270,686.0,308.0,12.68,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
yarega,koyva,russia,former soviet union,timan-pechora,komineft,oil,plateau production,devonian,sandstone,onshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,480,100.0,56.0,21.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
north burbank,burbank,usa,north america,cherokee,conocophillips,oil,unknown,carboniferous,sandstone,onshore,onshore,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3020,90.0,47.0,16.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
yibal,shuaiba,oman,middle east,fahud salt,pdo,oil,declining production,cretaceous,chalk,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4440,350.0,300.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
fairway,james limestone,usa,north america,gulf of mexico northern onshore,hunt oil company,oil,nearly depleted,cretaceous,limestone,onshore,onshore,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10000,150.0,70.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
maling,yanan,china,far east,ordos,petrochina,oil,declining production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3776,984.0,24.0,16.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
cinta,talang akar (zone 3),indonesia,far east,sunda,repsol ypf,oil,mature production,paleogene,sandstone,offshore,onshore-offshore,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2880,200.0,65.0,18.0,505.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
kovykta,parfenov,russia,former soviet union,siberian eastern,rusia petroleum,gas,undeveloped,proterozoic,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4000,200.0,49.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
weeks island,s sand (reservoir b) or s rb,usa,north america,gulf of mexico northern onshore,shell and others,oil,nearly depleted,neogene,sandstone,onshore,onshore,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11600,221.0,186.0,26.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
miskar,aleg (bireno),tunisia,africa,pelagian,bg,gas-condensate,developing,cretaceous,chalky limestone,offshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10702,128.0,49.0,13.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
zafiro,agbada (qua iboe sands),equatorial guinea,africa,niger delta,exxonmobil,oil,developing,neogene,sandstone,offshore,onshore-offshore,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4400,190.0,100.0,27.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
tern,brent,uk,europe,north sea northern,shell,oil,declining production,jurassic,sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7252,273.0,170.0,22.0,350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
laojunmiao,baiyanghe (ganyouquan k sand),china,far east,jiuquan,petrochina,oil,nearly depleted,paleogene,sandstone,onshore,onshore,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335,210.0,43.0,21.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
kurten,woodbine-eagleford,usa,north america,gulf of mexico northern onshore,numerous,oil,declining production,cretaceous,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7940,300.0,24.0,9.3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
ardjuna-b,cibulakan,indonesia,far east,java northwest,bp,oil,mature production,neogene,low-resistivity sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2310,1197.0,263.0,26.0,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
parentis,unnamed,france,europe,aquitaine,vermilion,oil,nearly depleted,cretaceous,dolomite,onshore-offshore,onshore-offshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6550,1300.0,200.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore-offshore
cashiriari,viivian,unknown,unknown,ucayali,pluspetrol,gas-condensate,undeveloped,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6150,245.0,210.0,13.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
markovo,parfenov,russia,former soviet union,siberian eastern,vostsibneftegazgeologiya,gas-condensate,developing,proterozoic,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8596,172.0,25.0,9.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
east crossfield,wabamun (a pool),canada,north america,western canada,bp and others,gas,mature production,devonian,dolomite,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7700,100.0,67.6,6.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
erskine,puffin (erskine sandstone),uk,europe,north sea central,chevron,gas-condensate,declining production,jurassic,shaly sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14700,220.0,210.0,23.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
quiriquire,quiriquire,venezuela,latin america,eastern venezuela,repsol ypf /maxus,oil,rejuvenating,neogene,sandstone,onshore,onshore,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1613,1600.0,230.0,20.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
little knife,mission canyon (madison),usa,north america,williston,chevron,oil,declining production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9673,465.0,24.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
orenburg,unnamed,unknown,unknown,precaspian,orenburggazprom,gas,unknown,carboniferous-permian,limestone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4232,1360.0,563.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
abu madi-el qara,abu madi (level ii),egypt,africa,nile delta,ieoc,gas,declining production,neogene,thinly-bedded sandstone,onshore-offshore,onshore-offshore,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9843,115.0,66.0,22.0,200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,onshore
el borma,kirchaou,tunisia /algeria,africa,ghadames,sitep /sonatrach,oil,declining production,triassic,sandstone,onshore,onshore,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9022,353.0,190.0,17.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
asab,thamama zone b-c,uae,middle east,rub al khali,adco,oil,declining production,cretaceous,limestone,onshore-offshore,onshore-offshore,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7850,274.0,250.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
caroline,cardium (e pool),canada,north america,western canada,numerous,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7975,300.0,7.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
oribi,14a sequence,south africa,africa,bredasdorp,petrosa,oil,plateau production,cretaceous,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7306,115.0,98.0,18.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
dan,chalk group (tor-ekofisk),denmark,europe,north sea central,maersk,oil,plateau production,cretaceous-paleogene,chalk,offshore,offshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5560,500.0,160.0,28.0,1.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
weyburn,charles (midale beds),canada,north america,williston,encana,oil,second plateau prodution,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4300,82.0,33.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
chateaurenard,chateaurenard,france,europe,paris,madison /chart,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1860,28.0,15.0,27.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
antrim shale,antrim shale (norwood-lachine),usa,north america,michigan,numerous,gas,plateau production,devonian,shale,onshore,onshore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,100.0,80.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
idd el shargi north dome,shuaiba,qatar,middle east,rub al khali,occidental,oil,mature production,cretaceous,chalky limestone,onshore-offshore,onshore-offshore,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4381,328.0,256.0,25.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
newburg,charles,usa,north america,williston,amerada hess,oil,mature production,carboniferous,dolomitic limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3310,120.0,17.8,10.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
alabama ferry,upper glen rose d zone,usa,north america,gulf of mexico northern onshore,numerous,oil,mature production,cretaceous,limestone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8700,95.0,15.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
carmopolis,carmopolis (muribeca),brazil,latin america,sergipe-alagoas,petrobras,oil,declining production,cretaceous,conglomerate,onshore,onshore-offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1788,380.0,350.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
laojunmiao,baiyanghe (jianquanzi l sand),china,far east,jiuquan,petrochina,oil,nearly depleted,paleogene,sandstone,onshore,onshore,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1362,180.0,39.0,23.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
yangsanmu,guantao-minghuazhen,china,far east,bohai,petrochina,oil,mature production,neogene,sandstone,onshore-offshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3898,2615.0,66.0,31.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
kitty,muddy,usa,north america,powder river,devon energy and others,oil,nearly depleted,cretaceous,shaly sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8650,80.0,12.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
snapper,latrobe (n-1 unit),australia,far east,gippsland,exxonmobil /bhp billiton,gas-condensate,plateau production,paleogene,sandstone,offshore,onshore-offshore,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3682,820.0,394.0,24.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
provost,viking (c pool),canada,north america,western canada,numerous,oil,nearly depleted,cretaceous,low-resistivity sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2950,70.0,4.0,25.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
raven creek,upper minnelusa (b sand),usa,north america,powder river,citation oil and gas,oil,mature production,permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8278,100.0,37.0,12.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
east texas,woodbine,usa,north america,gulf of mexico northern onshore,numerous,oil,declining production,cretaceous,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3500,51.0,37.0,25.0,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
delta south,agbada (g2 sand),nigeria,africa,niger delta,chevron,oil,declining production,neogene,sandstone,offshore,onshore-offshore,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7985,66.0,50.0,28.0,2000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
south cowden,grayburg,usa,unknown,permian,numerous,oil,declining production,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4100,400.0,90.0,8.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
luginets,tyumen-naunak,russia,former soviet union,siberian western,tomskneft (yukos),oil,rejuvenating,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7610,300.0,200.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
laojunmiao,baiyanghe (jianquanzi m sand),china,far east,jiuquan,petrochina,oil,mature production,paleogene,sandstone,onshore,onshore,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1532,210.0,82.0,17.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
moxa arch-la barge,frontier (tip top field),usa,north america,greater green river,numerous,gas,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7000,1100.0,90.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
beryl,beryl,uk,europe,north sea northern,exxonmobil,oil,declining production,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9200,500.0,425.0,17.0,350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
djarkuduk,kyzyltash,afghanistan,far east,amu darya,afghangas,gas,rejuvenating,cretaceous,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6560,450.0,89.0,23.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
